Color,Count,Percentage,Year
#251520,1,0.3937007874015747,1998
#017cc2,1,0.3937007874015747,1998
#f3f5f0,1,0.3937007874015747,1998
#190e0c,1,0.3937007874015747,1998
#03070a,1,0.3937007874015747,1998
#fbb531,1,0.3937007874015747,1998
#edeef0,1,0.3937007874015747,1998
#0170b7,1,0.3937007874015747,1998
#4f2976,1,0.3937007874015747,1998
#c8ddf5,1,0.3937007874015747,1998
#0e0202,1,0.3937007874015747,1998
#bbd33a,1,0.3937007874015747,1998
#030117,1,0.3937007874015747,1998
#f1bd4b,1,0.3937007874015747,1998
#ffff00,1,0.3937007874015747,1998
#020403,1,0.3937007874015747,1998
#a09c99,1,0.3937007874015747,1998
#d13119,1,0.3937007874015747,1998
#130f0c,1,0.3937007874015747,1998
#d38e43,1,0.3937007874015747,1998
#050306,1,0.3937007874015747,1998
#09070a,1,0.3937007874015747,1998
#090c13,1,0.3937007874015747,1998
#b6b8cd,1,0.3937007874015747,1998
#050505,1,0.3937007874015747,1998
#e0e1e3,1,0.3937007874015747,1998
#e8e8e6,1,0.3937007874015747,1998
#070707,1,0.3937007874015747,1998
#000005,1,0.3937007874015747,1998
#130908,1,0.3937007874015747,1998
#030208,1,0.3937007874015747,1998
#f1ebe3,1,0.3937007874015747,1998
#08080a,1,0.3937007874015747,1998
#fd2a17,1,0.3937007874015747,1998
#fbfbfb,1,0.3937007874015747,1998
#0f0f0f,1,0.3937007874015747,1998
#4e7c9e,1,0.3937007874015747,1998
#fff659,1,0.3937007874015747,1998
#e83a21,1,0.3937007874015747,1998
#c5c9d2,1,0.3937007874015747,1998
#0d0d0d,1,0.3937007874015747,1998
#000002,1,0.3937007874015747,1998
#f5ffff,1,0.3937007874015747,1998
#110303,1,0.3937007874015747,1998
#fbfaf6,1,0.3937007874015747,1998
#070906,1,0.3937007874015747,1998
#020001,1,0.3937007874015747,1998
#080406,1,0.3937007874015747,1998
#162915,1,0.3937007874015747,1998
#c53827,1,0.3937007874015747,1998
#261f9a,1,0.3937007874015747,1998
#191315,1,0.3937007874015747,1998
#fef9f3,1,0.3937007874015747,1998
#e8dddb,1,0.3937007874015747,1998
#f7f7f7,1,0.3937007874015747,1998
#00050b,1,0.3937007874015747,1998
#f6fafd,1,0.3937007874015747,1998
#cbc6cd,1,0.3937007874015747,1998
#101012,1,0.3937007874015747,1998
#0c0401,1,0.3937007874015747,1998
#0e0e0e,1,0.3937007874015747,1998
#7f7484,1,0.3937007874015747,1998
#445334,1,0.3937007874015747,1998
#2b2527,1,0.3937007874015747,1998
#ebedec,1,0.3937007874015747,1998
#cc0428,1,0.3937007874015747,1998
#f0ede8,1,0.3937007874015747,1998
#000004,1,0.3937007874015747,1998
#08050c,1,0.3937007874015747,1998
#080b10,1,0.3937007874015747,1998
#851724,1,0.3937007874015747,1998
#fbfbf9,1,0.3937007874015747,1998
#fcb166,1,0.3937007874015747,1998
#02020f,1,0.3937007874015747,1998
#f23e23,1,0.3937007874015747,1998
#d9d6d7,1,0.3937007874015747,1998
#030305,1,0.3937007874015747,1998
#000000,84,32.8125,1999
#ffffff,53,20.703125,1999
#010101,10,3.90625,1999
#010005,4,1.5625,1999
#040404,3,1.171875,1999
#f5f4f2,2,0.78125,1999
#f3f2f0,2,0.78125,1999
#050507,2,0.78125,1999
#1f1f1f,2,0.78125,1999
#07080a,2,0.78125,1999
#010103,2,0.78125,1999
#040406,2,0.78125,1999
#fdea34,1,0.390625,1999
#ffde8f,1,0.390625,1999
#141213,1,0.390625,1999
#e34194,1,0.390625,1999
#000116,1,0.390625,1999
#6b1f18,1,0.390625,1999
#020200,1,0.390625,1999
#030408,1,0.390625,1999
#000201,1,0.390625,1999
#f5d8c6,1,0.390625,1999
#0b0b0b,1,0.390625,1999
#0c0c0a,1,0.390625,1999
#0f110e,1,0.390625,1999
#9d0a0d,1,0.390625,1999
#010703,1,0.390625,1999
#1d0f0f,1,0.390625,1999
#04090c,1,0.390625,1999
#1b1b1b,1,0.390625,1999
#37291e,1,0.390625,1999
#05110c,1,0.390625,1999
#f6f6f4,1,0.390625,1999
#ebeaf0,1,0.390625,1999
#03060b,1,0.390625,1999
#040507,1,0.390625,1999
#121011,1,0.390625,1999
#e64646,1,0.390625,1999
#006eb3,1,0.390625,1999
#c31c13,1,0.390625,1999
#02071a,1,0.390625,1999
#016b96,1,0.390625,1999
#020001,1,0.390625,1999
#01001f,1,0.390625,1999
#011142,1,0.390625,1999
#f2fbf6,1,0.390625,1999
#f6f6ee,1,0.390625,1999
#090806,1,0.390625,1999
#fbfbf9,1,0.390625,1999
#c03d73,1,0.390625,1999
#e2dcce,1,0.390625,1999
#06070b,1,0.390625,1999
#141215,1,0.390625,1999
#390438,1,0.390625,1999
#080c0b,1,0.390625,1999
#d83926,1,0.390625,1999
#555557,1,0.390625,1999
#e8bc77,1,0.390625,1999
#018377,1,0.390625,1999
#b3342b,1,0.390625,1999
#00012f,1,0.390625,1999
#0c0e0d,1,0.390625,1999
#0b110f,1,0.390625,1999
#465ea8,1,0.390625,1999
#0a0c0b,1,0.390625,1999
#e2e1e9,1,0.390625,1999
#dcc9a8,1,0.390625,1999
#2a1417,1,0.390625,1999
#fdf7db,1,0.390625,1999
#2f2b28,1,0.390625,1999
#443232,1,0.390625,1999
#000103,1,0.390625,1999
#020202,1,0.390625,1999
#31312f,1,0.390625,1999
#fbf8e7,1,0.390625,1999
#f3f2ed,1,0.390625,1999
#00a0d0,1,0.390625,1999
#0182c4,1,0.390625,1999
#070014,1,0.390625,1999
#959ebb,1,0.390625,1999
#170d18,1,0.390625,1999
#0d070b,1,0.390625,1999
#10224a,1,0.390625,1999
#f9f6ef,1,0.390625,1999
#030708,1,0.390625,1999
#040000,1,0.390625,1999
#030305,1,0.390625,1999
#02070a,1,0.390625,1999
#b71b0f,1,0.390625,1999
#14090d,1,0.390625,1999
#ec7e31,1,0.390625,1999
#534d4d,1,0.390625,1999
#9d1720,1,0.390625,1999
#39355a,1,0.390625,1999
#f9e4b5,1,0.390625,1999
#11669f,1,0.390625,1999
#fbf5a7,1,0.390625,1999
#faf9f4,1,0.390625,1999
#1c1817,1,0.390625,1999
#010008,1,0.390625,1999
#000000,106,36.42611683848797,2000
#ffffff,67,23.02405498281787,2000
#010101,11,3.7800687285223367,2000
#fefefe,3,1.0309278350515465,2000
#020202,3,1.0309278350515465,2000
#010006,3,1.0309278350515465,2000
#feffef,2,0.6872852233676976,2000
#010103,2,0.6872852233676976,2000
#040404,2,0.6872852233676976,2000
#fcfcfc,2,0.6872852233676976,2000
#0c0320,1,0.3436426116838488,2000
#0f1719,1,0.3436426116838488,2000
#1d1c22,1,0.3436426116838488,2000
#901820,1,0.3436426116838488,2000
#d9d9d9,1,0.3436426116838488,2000
#43545b,1,0.3436426116838488,2000
#f5ead0,1,0.3436426116838488,2000
#f8f3ed,1,0.3436426116838488,2000
#e24220,1,0.3436426116838488,2000
#030502,1,0.3436426116838488,2000
#121a1d,1,0.3436426116838488,2000
#ff7300,1,0.3436426116838488,2000
#0b0d0c,1,0.3436426116838488,2000
#0b3997,1,0.3436426116838488,2000
#a7b4e0,1,0.3436426116838488,2000
#124f92,1,0.3436426116838488,2000
#f9fafc,1,0.3436426116838488,2000
#040406,1,0.3436426116838488,2000
#ceeaed,1,0.3436426116838488,2000
#040509,1,0.3436426116838488,2000
#040402,1,0.3436426116838488,2000
#0c0402,1,0.3436426116838488,2000
#fcf5e2,1,0.3436426116838488,2000
#d1c9c6,1,0.3436426116838488,2000
#0f0f0f,1,0.3436426116838488,2000
#378ed3,1,0.3436426116838488,2000
#0e0c0d,1,0.3436426116838488,2000
#0368ac,1,0.3436426116838488,2000
#0a0a0c,1,0.3436426116838488,2000
#0c0c0a,1,0.3436426116838488,2000
#feda22,1,0.3436426116838488,2000
#070709,1,0.3436426116838488,2000
#010508,1,0.3436426116838488,2000
#ff6702,1,0.3436426116838488,2000
#d86123,1,0.3436426116838488,2000
#090c11,1,0.3436426116838488,2000
#fff8ff,1,0.3436426116838488,2000
#382e2c,1,0.3436426116838488,2000
#0c070d,1,0.3436426116838488,2000
#d1672e,1,0.3436426116838488,2000
#050409,1,0.3436426116838488,2000
#fbfbfb,1,0.3436426116838488,2000
#dfecf2,1,0.3436426116838488,2000
#006eaa,1,0.3436426116838488,2000
#0f1012,1,0.3436426116838488,2000
#6ec3c0,1,0.3436426116838488,2000
#040507,1,0.3436426116838488,2000
#6dcff4,1,0.3436426116838488,2000
#99ba91,1,0.3436426116838488,2000
#feefcf,1,0.3436426116838488,2000
#080f15,1,0.3436426116838488,2000
#010707,1,0.3436426116838488,2000
#0a0a0a,1,0.3436426116838488,2000
#0b0b0b,1,0.3436426116838488,2000
#c70102,1,0.3436426116838488,2000
#181816,1,0.3436426116838488,2000
#6199d6,1,0.3436426116838488,2000
#1f1a17,1,0.3436426116838488,2000
#000002,1,0.3436426116838488,2000
#f9f9f7,1,0.3436426116838488,2000
#fdfb89,1,0.3436426116838488,2000
#f7f7f7,1,0.3436426116838488,2000
#202b7a,1,0.3436426116838488,2000
#aa4e53,1,0.3436426116838488,2000
#140e12,1,0.3436426116838488,2000
#0b0d08,1,0.3436426116838488,2000
#f9f8f6,1,0.3436426116838488,2000
#6888a5,1,0.3436426116838488,2000
#050706,1,0.3436426116838488,2000
#000106,1,0.3436426116838488,2000
#cede61,1,0.3436426116838488,2000
#bd261b,1,0.3436426116838488,2000
#101a1c,1,0.3436426116838488,2000
#363b38,1,0.3436426116838488,2000
#010005,1,0.3436426116838488,2000
#e1e8ee,1,0.3436426116838488,2000
#eb2e2a,1,0.3436426116838488,2000
#020106,1,0.3436426116838488,2000
#f3d688,1,0.3436426116838488,2000
#f4f7f0,1,0.3436426116838488,2000
#1c180f,1,0.3436426116838488,2000
#63910b,1,0.3436426116838488,2000
#0d0e10,1,0.3436426116838488,2000
#f3f3f1,1,0.3436426116838488,2000
#4d100b,1,0.3436426116838488,2000
#ee9c10,1,0.3436426116838488,2000
#010602,1,0.3436426116838488,2000
#84aede,1,0.3436426116838488,2000
#020003,1,0.3436426116838488,2000
#fa9602,1,0.3436426116838488,2000
#000000,102,37.22627737226277,2001
#ffffff,55,20.072992700729927,2001
#010101,11,4.014598540145985,2001
#040404,4,1.45985401459854,2001
#060606,3,1.094890510948905,2001
#020107,2,0.7299270072992701,2001
#fefefe,2,0.7299270072992701,2001
#020202,2,0.7299270072992701,2001
#07080d,2,0.7299270072992701,2001
#222222,1,0.364963503649635,2001
#2a2b19,1,0.364963503649635,2001
#150f11,1,0.364963503649635,2001
#651611,1,0.364963503649635,2001
#f7fbfe,1,0.364963503649635,2001
#060108,1,0.364963503649635,2001
#111216,1,0.364963503649635,2001
#06090e,1,0.364963503649635,2001
#262221,1,0.364963503649635,2001
#070803,1,0.364963503649635,2001
#1e2225,1,0.364963503649635,2001
#887c7c,1,0.364963503649635,2001
#3ca9db,1,0.364963503649635,2001
#0a0a0a,1,0.364963503649635,2001
#f9fbfa,1,0.364963503649635,2001
#fdf9f0,1,0.364963503649635,2001
#1d2b36,1,0.364963503649635,2001
#fcffff,1,0.364963503649635,2001
#fefcff,1,0.364963503649635,2001
#040000,1,0.364963503649635,2001
#0a090f,1,0.364963503649635,2001
#654e29,1,0.364963503649635,2001
#f7e4ac,1,0.364963503649635,2001
#27141a,1,0.364963503649635,2001
#222127,1,0.364963503649635,2001
#29282d,1,0.364963503649635,2001
#6c2fa6,1,0.364963503649635,2001
#000002,1,0.364963503649635,2001
#23231b,1,0.364963503649635,2001
#031323,1,0.364963503649635,2001
#a85630,1,0.364963503649635,2001
#fe0000,1,0.364963503649635,2001
#000304,1,0.364963503649635,2001
#18100e,1,0.364963503649635,2001
#22388d,1,0.364963503649635,2001
#c9d9f0,1,0.364963503649635,2001
#000001,1,0.364963503649635,2001
#020611,1,0.364963503649635,2001
#23191a,1,0.364963503649635,2001
#1c2a59,1,0.364963503649635,2001
#f2f2f2,1,0.364963503649635,2001
#07080a,1,0.364963503649635,2001
#e9efef,1,0.364963503649635,2001
#fdf4ea,1,0.364963503649635,2001
#025af9,1,0.364963503649635,2001
#313234,1,0.364963503649635,2001
#0f0f0f,1,0.364963503649635,2001
#030009,1,0.364963503649635,2001
#04080b,1,0.364963503649635,2001
#2a3e45,1,0.364963503649635,2001
#f9f9f9,1,0.364963503649635,2001
#48555b,1,0.364963503649635,2001
#151618,1,0.364963503649635,2001
#090909,1,0.364963503649635,2001
